Miguel Cantu,,,,Chris Rucker (Quality),,,,,,Chris Hoagland,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,,,,,,,,,,
,,,,,,,,,,l1,,,,,c3,,asd,,,,,,,,,,,
,,,,,,,,,,l2,,,,,c2,,dsa,,,,,,,,,,,
,,,,,,,,,,l3,,,,,c1,,sda,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entered Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial #,,Part #,,Capacitance,,Esr,,Leakage,,Anode Lot,,,,,Cathode Lot,,Tantalum Lot,,Teflon Spacer 1,,Teflon Spacer 2,,Teflon Spacer 3,,Teflon Lot #,,Comments,
2,,1,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
3,,2,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
4,,3,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
5,,4,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
6,,5,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
7,,6,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
8,,7,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
9,,8,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
10,,9,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
11,,10,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
12,,11,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
13,,12,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
14,,13,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
15,,14,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
16,,15,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
17,,16,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
18,,17,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
19,,18,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
20,,19,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
21,,20,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
22,,21,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
23,,22,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
24,,23,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
25,,24,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
26,,25,,,,,,,,l2,l1,l2,,l2,c2,,asd,,l3,,,,,,,,,,,
